course,module,rubric_path,criteria_count,used_default_criteria,criteria_sample
16-adas-driver-assistance,week-06-review,content\courses\16-adas-driver-assistance\modules\week-06-review\rubric.md,1,no,(list objectives for ADAS & Driver Assistance)
17-diesel-emissions-control,week-01-introduction,content\courses\17-diesel-emissions-control\modules\week-01-introduction\rubric.md,1,no,(list objectives for Diesel Emissions Control)
17-diesel-emissions-control,week-02-fundamentals,content\courses\17-diesel-emissions-control\modules\week-02-fundamentals\rubric.md,1,no,(list objectives for Diesel Emissions Control)
17-diesel-emissions-control,week-03-components,content\courses\17-diesel-emissions-control\modules\week-03-components\rubric.md,1,no,(list objectives for Diesel Emissions Control)
17-diesel-emissions-control,week-04-diagnostics,content\courses\17-diesel-emissions-control\modules\week-04-diagnostics\rubric.md,1,no,(list objectives for Diesel Emissions Control)
17-diesel-emissions-control,week-05-service-procedures,content\courses\17-diesel-emissions-control\modules\week-05-service-procedures\rubric.md,1,no,(list objectives for Diesel Emissions Control)
17-diesel-emissions-control,week-06-review,content\courses\17-diesel-emissions-control\modules\week-06-review\rubric.md,1,no,(list objectives for Diesel Emissions Control)
18-heavy-duty-truck-systems,week-01-introduction,content\courses\18-heavy-duty-truck-systems\modules\week-01-introduction\rubric.md,1,no,(list objectives for Heavy Duty Truck Systems)
18-heavy-duty-truck-systems,week-02-fundamentals,content\courses\18-heavy-duty-truck-systems\modules\week-02-fundamentals\rubric.md,1,no,(list objectives for Heavy Duty Truck Systems)
18-heavy-duty-truck-systems,week-03-components,content\courses\18-heavy-duty-truck-systems\modules\week-03-components\rubric.md,1,no,(list objectives for Heavy Duty Truck Systems)
18-heavy-duty-truck-systems,week-04-diagnostics,content\courses\18-heavy-duty-truck-systems\modules\week-04-diagnostics\rubric.md,1,no,(list objectives for Heavy Duty Truck Systems)
18-heavy-duty-truck-systems,week-05-service-procedures,content\courses\18-heavy-duty-truck-systems\modules\week-05-service-procedures\rubric.md,1,no,(list objectives for Heavy Duty Truck Systems)
18-heavy-duty-truck-systems,week-06-review,content\courses\18-heavy-duty-truck-systems\modules\week-06-review\rubric.md,1,no,(list objectives for Heavy Duty Truck Systems)
19-high-voltage-systems-service,week-01-introduction,content\courses\19-high-voltage-systems-service\modules\week-01-introduction\rubric.md,1,no,(list objectives for High-Voltage Systems Service)
19-high-voltage-systems-service,week-02-fundamentals,content\courses\19-high-voltage-systems-service\modules\week-02-fundamentals\rubric.md,1,no,(list objectives for High-Voltage Systems Service)
19-high-voltage-systems-service,week-03-components,content\courses\19-high-voltage-systems-service\modules\week-03-components\rubric.md,1,no,(list objectives for High-Voltage Systems Service)
19-high-voltage-systems-service,week-04-diagnostics,content\courses\19-high-voltage-systems-service\modules\week-04-diagnostics\rubric.md,1,no,(list objectives for High-Voltage Systems Service)
19-high-voltage-systems-service,week-05-service-procedures,content\courses\19-high-voltage-systems-service\modules\week-05-service-procedures\rubric.md,1,no,(list objectives for High-Voltage Systems Service)
19-high-voltage-systems-service,week-06-review,content\courses\19-high-voltage-systems-service\modules\week-06-review\rubric.md,1,no,(list objectives for High-Voltage Systems Service)
20-ev-charging-infrastructure,week-01-introduction,content\courses\20-ev-charging-infrastructure\modules\week-01-introduction\rubric.md,1,no,(list objectives for EV Charging Infrastructure)
20-ev-charging-infrastructure,week-02-fundamentals,content\courses\20-ev-charging-infrastructure\modules\week-02-fundamentals\rubric.md,1,no,(list objectives for EV Charging Infrastructure)
20-ev-charging-infrastructure,week-03-components,content\courses\20-ev-charging-infrastructure\modules\week-03-components\rubric.md,1,no,(list objectives for EV Charging Infrastructure)
20-ev-charging-infrastructure,week-04-diagnostics,content\courses\20-ev-charging-infrastructure\modules\week-04-diagnostics\rubric.md,1,no,(list objectives for EV Charging Infrastructure)
20-ev-charging-infrastructure,week-05-service-procedures,content\courses\20-ev-charging-infrastructure\modules\week-05-service-procedures\rubric.md,1,no,(list objectives for EV Charging Infrastructure)
20-ev-charging-infrastructure,week-06-review,content\courses\20-ev-charging-infrastructure\modules\week-06-review\rubric.md,1,no,(list objectives for EV Charging Infrastructure)
21-advanced-battery-management,week-01-introduction,content\courses\21-advanced-battery-management\modules\week-01-introduction\rubric.md,1,no,(list objectives for Advanced Battery Management)
21-advanced-battery-management,week-02-fundamentals,content\courses\21-advanced-battery-management\modules\week-02-fundamentals\rubric.md,1,no,(list objectives for Advanced Battery Management)
21-advanced-battery-management,week-03-components,content\courses\21-advanced-battery-management\modules\week-03-components\rubric.md,1,no,(list objectives for Advanced Battery Management)
21-advanced-battery-management,week-04-diagnostics,content\courses\21-advanced-battery-management\modules\week-04-diagnostics\rubric.md,1,no,(list objectives for Advanced Battery Management)
21-advanced-battery-management,week-05-service-procedures,content\courses\21-advanced-battery-management\modules\week-05-service-procedures\rubric.md,1,no,(list objectives for Advanced Battery Management)
21-advanced-battery-management,week-06-review,content\courses\21-advanced-battery-management\modules\week-06-review\rubric.md,1,no,(list objectives for Advanced Battery Management)
22-fleet-management-operations,week-01-introduction,content\courses\22-fleet-management-operations\modules\week-01-introduction\rubric.md,1,no,(list objectives for Fleet Management & Operations)
22-fleet-management-operations,week-02-fundamentals,content\courses\22-fleet-management-operations\modules\week-02-fundamentals\rubric.md,1,no,(list objectives for Fleet Management & Operations)
22-fleet-management-operations,week-03-components,content\courses\22-fleet-management-operations\modules\week-03-components\rubric.md,1,no,(list objectives for Fleet Management & Operations)
22-fleet-management-operations,week-04-diagnostics,content\courses\22-fleet-management-operations\modules\week-04-diagnostics\rubric.md,1,no,(list objectives for Fleet Management & Operations)
22-fleet-management-operations,week-05-service-procedures,content\courses\22-fleet-management-operations\modules\week-05-service-procedures\rubric.md,1,no,(list objectives for Fleet Management & Operations)
22-fleet-management-operations,week-06-review,content\courses\22-fleet-management-operations\modules\week-06-review\rubric.md,1,no,(list objectives for Fleet Management & Operations)
23-capstone-project,week-01-introduction,content\courses\23-capstone-project\modules\week-01-introduction\rubric.md,1,no,(list objectives for Capstone Project)
23-capstone-project,week-02-fundamentals,content\courses\23-capstone-project\modules\week-02-fundamentals\rubric.md,1,no,(list objectives for Capstone Project)
23-capstone-project,week-03-components,content\courses\23-capstone-project\modules\week-03-components\rubric.md,1,no,(list objectives for Capstone Project)
23-capstone-project,week-04-diagnostics,content\courses\23-capstone-project\modules\week-04-diagnostics\rubric.md,1,no,(list objectives for Capstone Project)
23-capstone-project,week-05-service-procedures,content\courses\23-capstone-project\modules\week-05-service-procedures\rubric.md,1,no,(list objectives for Capstone Project)
23-capstone-project,week-06-review,content\courses\23-capstone-project\modules\week-06-review\rubric.md,1,no,(list objectives for Capstone Project)
24-diesel-technology-capstone,week-01-introduction,content\courses\24-diesel-technology-capstone\modules\week-01-introduction\rubric.md,1,no,(list objectives for Diesel Technology Capstone)
24-diesel-technology-capstone,week-02-fundamentals,content\courses\24-diesel-technology-capstone\modules\week-02-fundamentals\rubric.md,1,no,(list objectives for Diesel Technology Capstone)
24-diesel-technology-capstone,week-03-components,content\courses\24-diesel-technology-capstone\modules\week-03-components\rubric.md,1,no,(list objectives for Diesel Technology Capstone)
24-diesel-technology-capstone,week-04-diagnostics,content\courses\24-diesel-technology-capstone\modules\week-04-diagnostics\rubric.md,1,no,(list objectives for Diesel Technology Capstone)
24-diesel-technology-capstone,week-05-service-procedures,content\courses\24-diesel-technology-capstone\modules\week-05-service-procedures\rubric.md,1,no,(list objectives for Diesel Technology Capstone)
24-diesel-technology-capstone,week-06-review,content\courses\24-diesel-technology-capstone\modules\week-06-review\rubric.md,1,no,(list objectives for Diesel Technology Capstone)
25-electric-vehicle-capstone,week-01-introduction,content\courses\25-electric-vehicle-capstone\modules\week-01-introduction\rubric.md,1,no,(list objectives for Electric Vehicle Capstone)
25-electric-vehicle-capstone,week-02-fundamentals,content\courses\25-electric-vehicle-capstone\modules\week-02-fundamentals\rubric.md,1,no,(list objectives for Electric Vehicle Capstone)
25-electric-vehicle-capstone,week-03-components,content\courses\25-electric-vehicle-capstone\modules\week-03-components\rubric.md,1,no,(list objectives for Electric Vehicle Capstone)
25-electric-vehicle-capstone,week-04-diagnostics,content\courses\25-electric-vehicle-capstone\modules\week-04-diagnostics\rubric.md,1,no,(list objectives for Electric Vehicle Capstone)
25-electric-vehicle-capstone,week-05-service-procedures,content\courses\25-electric-vehicle-capstone\modules\week-05-service-procedures\rubric.md,1,no,(list objectives for Electric Vehicle Capstone)
25-electric-vehicle-capstone,week-06-review,content\courses\25-electric-vehicle-capstone\modules\week-06-review\rubric.md,1,no,(list objectives for Electric Vehicle Capstone)
